,country,subnational1,umd_tree_cover_density__threshold,umd_tree_cover_extent_2000__ha,whrc_aboveground_biomass_stock_2000__Mg,avg_whrc_aboveground_biomass_2000_Mg_ha-1,gfw_gross_emissions_co2e_all_gases__Mg_yr-1,gfw_gross_cumulative_aboveground_belowground_co2_removals__Mg_yr-1,gfw_net_flux_co2e__Mg_yr-1,gfw_gross_emissions_co2e_all_gases_2001__Mg,gfw_gross_emissions_co2e_all_gases_2002__Mg,gfw_gross_emissions_co2e_all_gases_2003__Mg,gfw_gross_emissions_co2e_all_gases_2004__Mg,gfw_gross_emissions_co2e_all_gases_2005__Mg,gfw_gross_emissions_co2e_all_gases_2006__Mg,gfw_gross_emissions_co2e_all_gases_2007__Mg,gfw_gross_emissions_co2e_all_gases_2008__Mg,gfw_gross_emissions_co2e_all_gases_2009__Mg,gfw_gross_emissions_co2e_all_gases_2010__Mg,gfw_gross_emissions_co2e_all_gases_2011__Mg,gfw_gross_emissions_co2e_all_gases_2012__Mg,gfw_gross_emissions_co2e_all_gases_2013__Mg,gfw_gross_emissions_co2e_all_gases_2014__Mg,gfw_gross_emissions_co2e_all_gases_2015__Mg,gfw_gross_emissions_co2e_all_gases_2016__Mg,gfw_gross_emissions_co2e_all_gases_2017__Mg,gfw_gross_emissions_co2e_all_gases_2018__Mg,gfw_gross_emissions_co2e_all_gases_2019__Mg,gfw_gross_emissions_co2e_all_gases_2020__Mg
61,Bolivia,Santa Cruz,30,30264155,4588843072,152,82840512.0,85979932.0,-3139419.0,33243976.0,46300845.0,47733121.0,51180262.0,58768600.0,55648694.0,51413626.0,93158863.0,48136498.0,117837509.0,78922599.0,80162356.0,48204318.0,58819072.0,45962972.0,146900386.0,139025551.0,95232846.0,232870771.0,127287367.0
62,Bolivia,Santa Cruz,50,26181070,4413905591,169,79633834.0,69356383.0,10277452.0,32563124.0,45503544.0,47084611.0,49906321.0,57361752.0,54339770.0,50592904.0,90451778.0,46196451.0,115507038.0,76585986.0,77966981.0,45357541.0,56048040.0,43030236.0,139539558.0,132650051.0,89925091.0,219156782.0,122909123.0
63,Bolivia,Santa Cruz,75,19458107,3798370894,195,63549839.0,41230413.0,22319426.0,29483246.0,41442476.0,43583287.0,43973957.0,51544696.0,48126162.0,45833499.0,74873806.0,35993177.0,101286086.0,62100319.0,69680988.0,33893698.0,43102086.0,29401924.0,100063518.0,105077786.0,63796022.0,142612394.0,105127645.0
64,Bolivia,Tarija,0,3730489,280495866,75,,,,,,,,,,,,,,,,,,,,,,,
65,Bolivia,Tarija,10,2516716,279055472,111,,,,,,,,,,,,,,,,,,,,,,,
66,Bolivia,Tarija,15,2495334,277617224,111,,,,,,,,,,,,,,,,,,,,,,,
67,Bolivia,Tarija,20,2469759,276009760,112,,,,,,,,,,,,,,,,,,,,,,,
68,Bolivia,Tarija,25,2430769,274229613,113,,,,,,,,,,,,,,,,,,,,,,,
69,Bolivia,Tarija,30,2392537,272272011,114,2141687.0,6813470.0,-4671783.0,1149229.0,884074.0,1128489.0,2040860.0,2060275.0,1374768.0,556550.0,6575659.0,2232079.0,5004343.0,2153505.0,1657931.0,1877465.0,1259899.0,520986.0,1538810.0,2181706.0,1922828.0,3046102.0,3668180.0
70,Bolivia,Tarija,50,1506758,221092707,147,1756887.0,3712647.0,-1955760.0,1015772.0,777334.0,1053278.0,1662287.0,1698724.0,1121777.0,435265.0,5612332.0,1954097.0,4784466.0,1960615.0,1369115.0,1593423.0,901875.0,448446.0,1102686.0,1648104.0,1154066.0,2079749.0,2764324.0
71,Bolivia,Tarija,75,942780,158267815,168,1061424.0,1791273.0,-729849.0,635998.0,614042.0,909989.0,1264604.0,1221546.0,644508.0,235679.0,3282897.0,1116223.0,3585202.0,1171213.0,739573.0,1161019.0,476592.0,265341.0,587866.0,883087.0,365081.0,808750.0,1259267.0
