,country,subnational1,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
129,Bolivia,Cochabamba,Chapare,10,1285151,1004454,1028295,5736,4011,3618,3991,5947,3445,3685,3362,6209,5067,5761,7183,3477,4253,5494,2725,4270,8183,2524,6931,3363
130,Bolivia,Cochabamba,Chapare,15,1285151,998378,1025321,5736,4011,3617,3991,5946,3444,3684,3361,6208,5067,5761,7182,3475,4247,5482,2719,4266,8173,2520,6923,3360
131,Bolivia,Cochabamba,Chapare,20,1285151,991650,1021926,5736,4010,3617,3990,5944,3442,3680,3360,6206,5066,5758,7177,3471,4241,5467,2716,4263,8164,2516,6916,3357
132,Bolivia,Cochabamba,Chapare,25,1285151,987219,1016805,5736,4009,3617,3990,5944,3441,3680,3359,6205,5066,5758,7175,3470,4236,5456,2712,4259,8156,2513,6909,3353
133,Bolivia,Cochabamba,Chapare,30,1285151,981615,1002787,5736,4008,3617,3989,5942,3439,3678,3359,6204,5065,5757,7173,3467,4230,5436,2708,4254,8147,2509,6901,3350
134,Bolivia,Cochabamba,Chapare,50,1285151,953877,950302,5736,3996,3605,3978,5885,3413,3648,3344,6178,5050,5733,7126,3426,4181,5324,2659,4215,8056,2475,6825,3319
135,Bolivia,Cochabamba,Chapare,75,1285151,899593,878325,5736,3951,3573,3926,5705,3348,3570,3302,6090,4992,5660,7002,3341,4031,5090,2544,4036,7679,2351,6517,3174
136,Bolivia,Cochabamba,Esteban Arce,0,118207,118207,118207,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
137,Bolivia,Cochabamba,Esteban Arce,10,118207,4077,2982,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
138,Bolivia,Cochabamba,Esteban Arce,15,118207,3319,2658,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
139,Bolivia,Cochabamba,Esteban Arce,20,118207,2948,2657,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
140,Bolivia,Cochabamba,Esteban Arce,25,118207,2626,2321,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
141,Bolivia,Cochabamba,Esteban Arce,30,118207,2383,971,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
142,Bolivia,Cochabamba,Esteban Arce,50,118207,1537,616,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
143,Bolivia,Cochabamba,Esteban Arce,75,118207,641,142,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
144,Bolivia,Cochabamba,Germán Jordán,0,19266,19266,19266,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145,Bolivia,Cochabamba,Germán Jordán,10,19266,311,329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Bolivia,Cochabamba,Germán Jordán,15,19266,246,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Bolivia,Cochabamba,Germán Jordán,20,19266,212,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Bolivia,Cochabamba,Germán Jordán,25,19266,188,248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Bolivia,Cochabamba,Germán Jordán,30,19266,166,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Bolivia,Cochabamba,Germán Jordán,50,19266,98,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Bolivia,Cochabamba,Germán Jordán,75,19266,49,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Bolivia,Cochabamba,Mizque,0,308490,308490,308490,16,8,4,6,16,2,3,3,9,4,8,5,11,5,8,0,7,15,13,9,23
153,Bolivia,Cochabamba,Mizque,10,308490,24557,36674,16,8,3,5,13,2,3,3,6,3,7,4,10,2,3,0,4,9,6,4,5
154,Bolivia,Cochabamba,Mizque,15,308490,21129,35366,16,8,3,5,13,2,3,3,6,3,7,4,10,2,3,0,4,9,6,3,5
155,Bolivia,Cochabamba,Mizque,20,308490,18608,35268,16,8,3,5,13,2,3,3,6,3,7,4,9,2,3,0,4,8,6,3,5
156,Bolivia,Cochabamba,Mizque,25,308490,17125,34079,16,8,3,5,13,2,3,3,6,3,7,4,9,2,3,0,4,8,6,3,4
157,Bolivia,Cochabamba,Mizque,30,308490,15824,26422,16,7,3,5,12,2,3,3,6,3,7,4,9,2,3,0,4,8,6,3,4
158,Bolivia,Cochabamba,Mizque,50,308490,10291,17453,16,7,2,3,10,2,3,2,4,2,4,3,8,1,2,0,3,7,5,2,2
